subject_id,spider score, parent CTX image, center latitude, center longitude
491504,0.903,"D14_032675_0924_XN_87S253W",-87.61,110.55
1058100,0.902,"P13_006151_0974_XN_82S055W",-81.91,303.78
1514894,0.901,"P13_005958_1030_XI_77S195W",-76.76,165.31
488434,0.901,"P13_006204_0986_XN_81S065W",-81.68,296.73
1058654,0.901,"D14_032593_1037_XN_76S174W",-76.22,185.72
1044865,0.900,"P13_006151_0974_XN_82S055W",-81.92,302.30
1320790,0.899,"P12_005839_0994_XI_80S170W",-81.14,189.27
1044681,0.896,"P13_006151_0974_XN_82S055W",-81.94,301.86
492031,0.894,"P13_006148_1028_XN_77S342W",-79.16,20.33
1510011,0.878,"G13_023338_1043_XI_75S229W",-76.83,131.00
491491,0.875,"D14_032675_0924_XN_87S253W",-87.75,109.26
491445,0.875,"P13_006173_0934_XN_86S263W",-86.67,101.23
1491715,0.872,"P13_006197_0930_XN_87S187W",-87.18,181.68
489993,0.871,"P12_005747_1035_XI_76S195W",-76.82,165.38
1047759,0.871,"D14_032593_1037_XN_76S174W",-76.69,186.20
1058657,0.867,"D14_032593_1037_XN_76S174W",-76.67,186.48
1491774,0.864,"P13_006197_0930_XN_87S187W",-86.85,172.80
488308,0.864,"P13_006204_0986_XN_81S065W",-81.74,295.44
488304,0.864,"P13_006204_0986_XN_81S065W",-81.97,296.01
491943,0.864,"P13_006148_1028_XN_77S342W",-79.23,20.08
489220,0.864,"G14_023538_1006_XN_79S285W",-80.78,75.78
488565,0.863,"D13_032352_0985_XN_81S063W",-81.73,295.80
1045059,0.862,"P13_006151_0974_XN_82S055W",-81.90,302.75
488310,0.862,"P13_006204_0986_XN_81S065W",-81.63,295.16
491502,0.861,"D14_032675_0924_XN_87S253W",-87.73,111.34
1321291,0.861,"P13_006283_1003_XN_79S065W",-81.89,300.29
1514893,0.860,"P13_005958_1030_XI_77S195W",-76.82,165.37
491423,0.859,"P13_006173_0934_XN_86S263W",-86.78,99.97
1515080,0.858,"P13_006234_1008_XN_79S168W",-79.33,191.53
1043407,0.858,"G14_023616_1004_XN_79S248W",-79.66,112.44
489837,0.858,"D13_032173_1031_XN_76S227W",-77.34,132.96
1058659,0.856,"D14_032593_1037_XN_76S174W",-76.56,186.36
491947,0.856,"P13_006148_1028_XN_77S342W",-79.00,19.74
488972,0.856,"G14_023718_1039_XN_76S160W",-76.05,199.12
1058141,0.856,"P13_006151_0974_XN_82S055W",-81.94,304.37
490046,0.856,"P12_005790_0978_XI_82S284W",-82.28,76.00
1515068,0.856,"P13_006234_1008_XN_79S168W",-80.04,192.61
1491925,0.855,"G14_023524_0999_XN_80S262W",-80.26,97.48
491449,0.853,"P13_006173_0934_XN_86S263W",-86.53,97.83
1510272,0.853,"G13_023338_1043_XI_75S229W",-77.38,132.96
1515145,0.853,"P13_006234_1008_XN_79S168W",-78.49,190.75
488433,0.852,"P13_006204_0986_XN_81S065W",-81.73,296.88
489863,0.850,"D13_032173_1031_XN_76S227W",-77.07,133.29
1058099,0.849,"P13_006151_0974_XN_82S055W",-81.97,303.93
490057,0.849,"P12_005790_0978_XI_82S284W",-82.26,76.47
1043408,0.848,"G14_023616_1004_XN_79S248W",-79.61,112.33
1491773,0.847,"P13_006197_0930_XN_87S187W",-86.88,173.81
1044650,0.847,"P13_006151_0974_XN_82S055W",-82.40,303.03
1510225,0.845,"G13_023338_1043_XI_75S229W",-77.39,132.66
1321289,0.844,"P13_006283_1003_XN_79S065W",-82.01,300.61
491477,0.844,"D14_032675_0924_XN_87S253W",-87.95,108.12
488350,0.843,"P13_006204_0986_XN_81S065W",-81.72,295.87
1515120,0.842,"P13_006234_1008_XN_79S168W",-79.96,192.88
1515020,0.839,"P13_006234_1008_XN_79S168W",-79.88,191.96
491478,0.835,"D14_032675_0924_XN_87S253W",-87.89,107.75
485403,0.833,"P12_005705_1016_XI_78S133W",-77.54,226.71
491501,0.831,"D14_032675_0924_XN_87S253W",-87.79,111.78
488349,0.826,"P13_006204_0986_XN_81S065W",-81.78,296.02
486263,0.822,"D14_032518_0995_XN_80S281W",-82.37,82.43
488391,0.820,"P13_006204_0986_XN_81S065W",-81.76,296.45
1510019,0.819,"G13_023338_1043_XI_75S229W",-76.35,130.69
488348,0.818,"P13_006204_0986_XN_81S065W",-81.84,296.16
1492193,0.816,"G13_023456_0990_XN_81S204W",-81.11,156.57
489848,0.815,"D13_032173_1031_XN_76S227W",-77.32,133.25
491944,0.815,"P13_006148_1028_XN_77S342W",-79.18,19.99
488390,0.814,"P13_006204_0986_XN_81S065W",-81.81,296.60
