subject_id,swiss cheese score, parent CTX image, center latitude, center longitude
487069,0.874,"P13_006229_0951_XN_84S014W",-86.77,3.57
1042202,0.874,"P13_006176_0935_XN_86S350W",-87.03,24.18
487644,0.874,"P13_006167_0931_XN_86S092W",-86.91,266.49
1042172,0.873,"P13_006176_0935_XN_86S350W",-86.97,19.52
1491816,0.873,"G14_023835_0906_XN_89S050W",-89.37,290.96
1042255,0.873,"P13_006176_0935_XN_86S350W",-86.31,8.58
1040035,0.872,"G14_023833_0926_XN_87S017W",-87.47,342.55
1043475,0.872,"D14_032682_0925_XN_87S066W",-87.61,296.03
487339,0.871,"P13_006229_0951_XN_84S014W",-86.26,359.22
1043471,0.871,"D14_032682_0925_XN_87S066W",-87.81,299.37
487324,0.871,"P13_006229_0951_XN_84S014W",-86.84,10.92
487671,0.871,"P13_006167_0931_XN_86S092W",-86.99,274.75
487663,0.871,"P13_006167_0931_XN_86S092W",-86.79,265.24
1040056,0.871,"G14_023833_0926_XN_87S017W",-87.40,345.39
1042977,0.870,"G14_023728_0958_XI_84S057W",-84.27,301.84
1044321,0.870,"D14_032666_0916_XN_88S350W",-88.73,10.25
1043429,0.870,"D14_032682_0925_XN_87S066W",-87.78,291.84
1501135,0.870,"D14_032523_0954_XN_84S045W",-84.71,315.54
487637,0.870,"P13_006167_0931_XN_86S092W",-87.11,273.74
484071,0.870,"P13_005941_0947_XI_85S065W",-86.48,312.27
1042836,0.869,"G14_023728_0958_XI_84S057W",-84.46,302.05
1042237,0.869,"P13_006176_0935_XN_86S350W",-86.95,23.74
1042257,0.869,"P13_006176_0935_XN_86S350W",-86.22,7.23
487606,0.869,"P13_006167_0931_XN_86S092W",-87.15,269.31
487510,0.869,"P13_006229_0951_XN_84S014W",-86.29,2.65
1042277,0.869,"P13_006176_0935_XN_86S350W",-86.70,18.68
1320459,0.869,"P13_006005_0947_XN_85S015W",-86.41,355.03
484040,0.869,"P13_005941_0947_XI_85S065W",-84.86,290.94
1491842,0.868,"G14_023835_0906_XN_89S050W",-89.22,330.25
487237,0.868,"P13_006229_0951_XN_84S014W",-86.89,10.25
1044466,0.868,"D14_032666_0916_XN_88S350W",-88.45,14.91
1040016,0.868,"G14_023833_0926_XN_87S017W",-87.46,337.45
1042294,0.868,"P13_006176_0935_XN_86S350W",-86.05,6.00
1042293,0.868,"P13_006176_0935_XN_86S350W",-86.09,6.63
1043504,0.867,"D14_032682_0925_XN_87S066W",-87.58,299.73
1491808,0.867,"G14_023835_0906_XN_89S050W",-89.46,338.90
1039991,0.867,"G14_023794_0952_XN_84S061W",-84.87,299.66
1040794,0.867,"D14_032510_0963_XN_83S054W",-83.84,304.67
487630,0.867,"P13_006167_0931_XN_86S092W",-86.87,263.00
483873,0.867,"P13_005941_0947_XI_85S065W",-86.40,305.74
1043472,0.867,"D14_032682_0925_XN_87S066W",-87.76,298.48
1040095,0.867,"P13_006123_0953_XN_84S001W",-85.98,6.06
487625,0.867,"P13_006167_0931_XN_86S092W",-87.03,267.84
1320384,0.867,"P13_006005_0947_XN_85S015W",-86.75,359.48
1042235,0.867,"P13_006176_0935_XN_86S350W",-87.00,25.79
1040080,0.867,"P13_006123_0953_XN_84S001W",-86.66,15.59
1043431,0.867,"D14_032682_0925_XN_87S066W",-87.67,290.47
1042979,0.866,"G14_023728_0958_XI_84S057W",-84.16,301.32
1044974,0.866,"P13_006151_0974_XN_82S055W",-82.98,305.89
487244,0.866,"P13_006229_0951_XN_84S014W",-86.64,4.25
487239,0.866,"P13_006229_0951_XN_84S014W",-86.82,8.44
1042197,0.865,"P13_006176_0935_XN_86S350W",-85.95,0.98
487659,0.865,"P13_006167_0931_XN_86S092W",-86.91,269.06
1040161,0.865,"P13_006123_0953_XN_84S001W",-86.84,21.24
484147,0.864,"P13_005941_0947_XI_85S065W",-86.13,306.99
1040043,0.864,"G14_023833_0926_XN_87S017W",-87.52,346.84
1043023,0.864,"G14_023728_0958_XI_84S057W",-84.10,302.48
1039996,0.864,"G14_023794_0952_XN_84S061W",-84.60,298.28
1039992,0.864,"G14_023794_0952_XN_84S061W",-84.82,299.37
1040806,0.864,"D14_032510_0963_XN_83S054W",-83.75,304.99
1040360,0.864,"P13_006123_0953_XN_84S001W",-85.67,6.18
1043441,0.863,"D14_032682_0925_XN_87S066W",-87.90,296.01
1040524,0.863,"P13_006123_0953_XN_84S001W",-86.04,13.08
488729,0.863,"G14_023807_0886_XN_88S313W",-88.70,39.82
1044374,0.863,"D14_032666_0916_XN_88S350W",-88.58,10.87
1042993,0.863,"G14_023728_0958_XI_84S057W",-84.46,303.56
1320546,0.863,"P13_006005_0947_XN_85S015W",-85.47,345.30
1491807,0.863,"G14_023835_0906_XN_89S050W",-89.44,344.91
1042290,0.863,"P13_006176_0935_XN_86S350W",-86.22,8.58
1040785,0.863,"D14_032510_0963_XN_83S054W",-83.75,303.66
1039951,0.863,"G14_023794_0952_XN_84S061W",-84.76,295.86
1042163,0.863,"P13_006176_0935_XN_86S350W",-85.99,0.25
1320412,0.862,"P13_006005_0947_XN_85S015W",-85.45,343.08
487173,0.862,"P13_006229_0951_XN_84S014W",-85.98,352.99
487413,0.862,"P13_006229_0951_XN_84S014W",-86.72,9.80
487172,0.862,"P13_006229_0951_XN_84S014W",-86.03,353.54
1042171,0.862,"P13_006176_0935_XN_86S350W",-87.00,20.50
1043008,0.862,"G14_023728_0958_XI_84S057W",-84.69,305.71
487515,0.861,"P13_006229_0951_XN_84S014W",-86.08,359.34
1320749,0.861,"P13_006005_0947_XN_85S015W",-85.41,347.75
1042251,0.861,"P13_006176_0935_XN_86S350W",-86.47,11.46
1492675,0.861,"D14_032656_0959_XI_84S078W",-84.22,283.30
1492623,0.861,"D14_032656_0959_XI_84S078W",-84.37,280.38
487065,0.861,"P13_006229_0951_XN_84S014W",-86.93,6.99
1044301,0.861,"D14_032666_0916_XN_88S350W",-88.43,1.34
487325,0.861,"P13_006229_0951_XN_84S014W",-86.80,10.02
1040171,0.860,"P13_006123_0953_XN_84S001W",-86.44,13.46
487327,0.860,"P13_006229_0951_XN_84S014W",-86.73,8.26
488749,0.860,"G14_023807_0886_XN_88S313W",-88.51,41.01
1070693,0.860,"D14_032790_0933_XN_86S110W",-86.94,250.13
1491811,0.860,"G14_023835_0906_XN_89S050W",-89.47,319.32
483928,0.860,"P13_005941_0947_XI_85S065W",-86.83,317.12
